Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"apellido_paterno",1B99829B-00FE-6F55-5644-18846DBD1908,96,,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"Directores",,,,4,255,,,,
"codigo_postal",435D3771-E6FD-6F0D-2B9F-93EA7539BC33,97,,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"Academias",,,,4,,10,,,
"correo",1FCC3855-915D-AEAF-FD86-7A24B8AD3960,98,,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"Directores",,,,8,255,,,,
"cumple_requisito",0932C399-ADBD-85D8-15A8-23A972DCDA34,99,,13A884EF-F564-651F-1714-1A3C8E365F00,88,Y,Logical Type,,,,,DOM3000004,1,LOGDT006,11,,,,,,,,,N,,Boolean,,,,,,,,"Recursos",,,,4,1,,,,
"direccion",963452BA-8FAC-A818-DCBF-976EFD2CEAF0,100,,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"Profesores",,,,5,255,,,,
"direccion",DF592D28-234D-07D2-B908-CC01D31E3182,101,,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,N,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"Academias",,,,3,255,,,,
"direccion",B24508EB-39E6-4D3C-2671-B52981A3DD35,102,,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"Directores",,,,6,255,,,,
"dv",BCE663FE-7B9A-DB66-D7FF-D53852AE4849,103,,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Profesores",,,,4,1,,,,
"dv",4F4E7DFF-682D-0DF0-7C07-BA06C48FC512,104,,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"Directores",,,,3,1,,,,
"es_casado",21907ACE-2D30-7A68-1BBD-9A1CF0198912,105,,DE5E7A65-C5A0-2E76-D276-A4772A990F15,77,Y,Logical Type,,,,,DOM3000004,1,LOGDT006,11,,,,,,,,,N,,Boolean,,,,,,,,"Estado_Civil",,,,2,1,,,,
