Column_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Computed,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Uses_Default,Engineer,Table_Name,PK_Flag,FK_Flag,Native_Type,Sequence,ModelID,Num_ModelID,Model_Name,T_Size,T_Precision,T_Scale
"Abonos_id_abono",B588C145-8F44-DF33-8862-CB22253E62AB,249,,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Contratos",,F,NUMBER,5,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,,,
"Academias_id_academia",B91661B9-451F-379D-319A-35A07BD13BB3,250,,A6A8253F-CCC8-5CCC-3AFC-817ECD3919BA,246,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Tipo_Academia",,F,NUMBER,2,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,10,,
"Academias_id_academia",8656B035-1848-BFFF-3765-A65D5A494E4E,251,,CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Formularios",,F,NUMBER,6,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,10,,
"afp",F26A5CFA-E885-8CCA-CEA1-DBD976AFF3AC,252,,73B29AA5-5AE3-9230-9A63-21995D38FC78,228,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Descuentos",,,VARCHAR2,2,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",255,,,
"apellido_paterno",3859BBF2-7135-DD5B-78AA-B9E06986C09F,253,,C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Directores",,,VARCHAR2,4,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",255,,,
"benificiario",C42E39B3-D89B-5860-7846-58B006D5479C,254,,CC265891-FB3F-2E5D-60DF-333945333639,232,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,N,Y,"Inversiones",,,VARCHAR2,5,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",255,,,
"Ciudades_id_ciudades",D9D30F13-F58B-E911-3954-007C8CF82EE1,255,,ED091BD7-A257-D794-569B-3B041098A764,226,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Comunas",,F,NUMBER,4,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,10,,
"codigo_postal",B962D60A-2DE2-FFCF-B9EE-6240DA28B452,256,,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Academias",,,NUMBER,4,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,9,,
"codigo_postal1",8D2ACF2C-A251-4FF5-DB69-D6F486E39074,257,,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Academias",,,NUMBER,12,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,10,,
"Comunas_id_comuna",611AC522-2094-05A5-62DD-870F60525478,258,,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,Y,Logical Type,,N,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,N,Y,"Academias",,F,NUMBER,10,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",,10,,
