FK_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Child_Table_Name,Referred_Table_Name,Engineer,Delete_Rule,Child_Table_ID,Num_Child_Table_ID,Referred_Table_ID,Num_Referred_Table_ID,Referred_Key_ID,Num_Referred_Key_ID,Number_Of_Columns
"Academias_Comunas_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,BD545329-1A1C-03BE-E315-C97738BB7B86,409,,Academias,Comunas,Y,NO ACTION,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,ED091BD7-A257-D794-569B-3B041098A764,226,222BAD7B-5011-BF96-8DCB-C638CD597237,400,1,
"Academias_Recursos_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,738B3124-684E-2D17-9CCC-203EC4F4E1E6,410,,Academias,Recursos,Y,NO ACTION,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,F40253BE-0AE2-6D67-4D9C-ADBC5CD1F30F,241,26B46320-4FAB-819C-AB32-A5570957E0D9,403,1,
"Ciudades_Regiones_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,21761544-678E-AFCE-77EC-247EDF1987DC,411,,Ciudades,Regiones,Y,NO ACTION,0929B5D2-3242-C92E-0867-8D1FDB84A784,225,290A6C96-9AF1-ECFE-FA65-D7EA2A4E1345,242,D0126028-CE71-B3E4-F0AE-CEADD3E84DF2,362,1,
"Comunas_Ciudades_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,B5895C9E-72B9-9CAF-25D8-51C00AF26BD2,412,,Comunas,Ciudades,Y,NO ACTION,ED091BD7-A257-D794-569B-3B041098A764,226,0929B5D2-3242-C92E-0867-8D1FDB84A784,225,D92EB768-3705-5562-52FA-7EBDD17CD01C,360,1,
"Comunas_Regiones_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,D0CD382C-5AD1-D1BD-B08C-85B99E3BDCE2,413,,Comunas,Regiones,Y,NO ACTION,ED091BD7-A257-D794-569B-3B041098A764,226,290A6C96-9AF1-ECFE-FA65-D7EA2A4E1345,242,D0126028-CE71-B3E4-F0AE-CEADD3E84DF2,362,1,
"Contrato_Abonos_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,BCB97B9B-4EAA-E52E-95AC-CD211EABF4E4,414,,Contratos,Abonos,Y,NO ACTION,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,5A3271AA-007E-367A-307C-EBA2CE4A2A65,223,CCCA9108-79D9-65A7-A48A-DB039A61C391,367,1,
"Contrato_Descuentos_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,F93BD7BA-EC5D-1025-39AA-EDF2CC0F71A6,415,,Contratos,Descuentos,Y,NO ACTION,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,73B29AA5-5AE3-9230-9A63-21995D38FC78,228,48F75293-BA95-6D03-313D-229D3A4E75DB,370,1,
"Contratos_Pagos_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,1723E531-0983-8F31-1B4E-4E7CF8207967,416,,Contratos,Pagos,Y,NO ACTION,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,CB4C3459-742A-A898-B39D-71C56E155BAF,235,B1A80E00-88B2-38F0-B5A3-54F1E5779AD2,391,1,
"Directores_Comunas_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,4CF2844F-9F06-7E9D-09F9-D15B3B73556F,417,,Directores,Comunas,Y,NO ACTION,C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,ED091BD7-A257-D794-569B-3B041098A764,226,222BAD7B-5011-BF96-8DCB-C638CD597237,400,1,
"Directores_Estado_Civil_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,D0B61EDB-09C7-1B2B-371C-515DE3CA2705,418,,Directores,Estado_Civil,Y,NO ACTION,C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,EC423A0B-89AE-2739-EAA4-5C0E0B760225,230,52F795BD-A516-88F7-2DBD-8982E804ECED,399,1,
"Formulario_Insumos_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,862F1DC8-0734-BF46-0C9D-3C56FF1FC43A,419,,Formularios,Recursos,Y,NO ACTION,CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,F40253BE-0AE2-6D67-4D9C-ADBC5CD1F30F,241,26B46320-4FAB-819C-AB32-A5570957E0D9,403,1,
"Formularios_Academias_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,26BC1EF8-DE9F-A277-C266-AE3B6D138195,420,,Formularios,Academias,Y,NO ACTION,CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,1767B33C-4A68-4072-FFD5-1A228D7F39E3,379,1,
"Formularios_Directores_FK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,6D250BFD-C40B-233F-29EC-094ABDB1847F,421,,Formularios,Directores,Y,NO ACTION,CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,05D0AC82-AE84-E325-BD38-BF62F993D444,382,1,
