Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"Ciudades_PK",D92EB768-3705-5562-52FA-7EBDD17CD01C,360,,0929B5D2-3242-C92E-0867-8D1FDB84A784,225,Primary Constraint,,N,Y,"Ciudades",N,,,,
"Ciudades_Regiones_FK",920D4E34-D8E8-D8CD-2606-F90338BF45D7,361,,0929B5D2-3242-C92E-0867-8D1FDB84A784,225,Foreign Key,,N,Y,"Ciudades",N,,,,
"Regiones_PK",D0126028-CE71-B3E4-F0AE-CEADD3E84DF2,362,,290A6C96-9AF1-ECFE-FA65-D7EA2A4E1345,242,Primary Constraint,,N,Y,"Regiones",N,,,,
"Profesion_Profesor_Profesores_FK",38F7A152-27F2-280E-976E-33AFC2680BAF,363,,3112ED84-84D3-6931-331F-673668AAE6F9,237,Foreign Key,,N,Y,"Profesion_Profesor",N,,,,
"Profesion_Profesor_Profesiones_FK",7FEFDD90-253F-497C-42B6-1A1C3853D737,364,,3112ED84-84D3-6931-331F-673668AAE6F9,237,Foreign Key,,N,Y,"Profesion_Profesor",N,,,,
"Nacionalidad_Directores_Nacionalidad_FK",26CC18CA-E1C3-D272-7EB9-6F7ACEF83CE9,365,,45655876-0737-E612-D6EE-A80F1D31D4BC,234,Foreign Key,,N,Y,"Nacionalidad_Directores",N,,,,
"Nacionalidad_Directores_Directores_FK",E9EBB281-FD4E-8035-ECF0-BE636AC4F9A0,366,,45655876-0737-E612-D6EE-A80F1D31D4BC,234,Foreign Key,,N,Y,"Nacionalidad_Directores",N,,,,
"Abonos_PK",CCCA9108-79D9-65A7-A48A-DB039A61C391,367,,5A3271AA-007E-367A-307C-EBA2CE4A2A65,223,Primary Constraint,,N,Y,"Abonos",N,,,,
"Tipo_Contrato_Tipo_3_FK",8A01902B-FCBA-F1D0-07CC-19CB1CF140D6,368,,6E106B89-B40B-C274-6D04-C6EE08EAD280,247,Foreign Key,,N,Y,"Tipo_Contrato",N,,,,
"Tipo_Contrato_Contratos_FK",0479FF75-2400-6755-0C16-ACD69B95CAA2,369,,6E106B89-B40B-C274-6D04-C6EE08EAD280,247,Foreign Key,,N,Y,"Tipo_Contrato",N,,,,
"Descuentos_PK",48F75293-BA95-6D03-313D-229D3A4E75DB,370,,73B29AA5-5AE3-9230-9A63-21995D38FC78,228,Primary Constraint,,N,Y,"Descuentos",N,,,,
"Tipo_3_PK",BD57BE5B-5374-8AF5-FBB8-FBBDBAE2B00F,371,,96443212-DA2C-43FC-9BEA-1A94C40B5FE1,245,Primary Constraint,,N,Y,"Tipo_3",N,,,,
"Nacionalidad_PK",449213E7-6ACB-2F8E-DCD2-C4D79CFA6F3F,372,,99D640BE-7A57-308A-C90E-2651C0B79CFB,233,Primary Constraint,,N,Y,"Nacionalidad",N,,,,
"Tipo_Academia_Tipo_2_FK",E0EE242A-A83C-22BE-1487-E6583725F7F8,373,,A6A8253F-CCC8-5CCC-3AFC-817ECD3919BA,246,Foreign Key,,N,Y,"Tipo_Academia",N,,,,
"Tipo_Academia_Academias_FK",C27E6BF4-6470-048F-0971-9B337BCDCB8A,374,,A6A8253F-CCC8-5CCC-3AFC-817ECD3919BA,246,Foreign Key,,N,Y,"Tipo_Academia",N,,,,
"Contratos_PK",8A2BACAA-3632-18D0-C6A9-0203BCC2FBA2,375,,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,Primary Constraint,,N,Y,"Contratos",N,,,,
"Contrato_Abonos_FK",E4E8A2B2-09CA-14A4-B678-BBC3687E78D6,376,,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,Foreign Key,,N,Y,"Contratos",N,,,,
"Contrato_Descuentos_FK",54D6B7EB-E2E5-7414-73EF-275924FDC1C2,377,,A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,Foreign Key,,N,Y,"Contratos",N,,,,
