Key_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Synonyms,Entity_Name
"Academias PK",3CFF49E3-087D-8D61-13DE-D93D6F90F4AD,180,,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,Primary Key,,"Academias",
"Ciudades PK",1AC841DF-A8FE-21EB-E4E7-461BF441B2BC,181,,EEFD1DF7-E3F4-7C9F-CE8D-E1FA1D37C35F,73,Primary Key,,"Ciudades",
"Comunas PK",B4E8E6EE-AD6C-3304-3C62-C36448474947,182,,246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,Primary Key,,"Comunas",
"Contrato PK",F71CEAC3-39DC-CAA3-61B7-6A591DFC75EF,183,,AB35E3C6-D9E2-46A8-2C3B-63D329EF702E,75,Primary Key,,"Contratos",
"Directores PK",E5347C52-F20F-7A79-652D-F29C1FEB3B6B,184,,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,Primary Key,,"Directores",
"Formulario PK",2AFB8796-8FCD-DE8A-C080-E33172ACDC57,185,,AC114B13-23FC-55DD-5B88-57193533EB5C,78,Primary Key,,"Formularios",
"Inversiones PK",6768AE7B-24C2-9D5C-542C-62375AB19BE1,186,,509C0FBC-865B-DFE3-FAFB-1A81DB3CBD3A,79,Primary Key,,"Inversiones",
"Nacionalidad PK",0130DB8E-E484-8157-74E9-D6C067B8F2D7,187,,452F84BE-CACC-F8E6-3909-C558A0D428DF,80,Primary Key,,"Nacionalidad",
"Pagos PK",AACDB098-C015-D4FE-A022-47A05E8E7117,188,,464A981A-F12C-26BB-CCE7-DC4E01068D08,82,Primary Key,,"Pagos",
"Profesiones PK",BCDE3B4A-3A02-90EF-7C02-A2BE0CD001EA,189,,403B712B-087C-B020-F636-C6D309EDFFBC,85,Primary Key,,"Profesiones",
"Profesiones PK",9E236C8A-FCE6-FE96-C0C1-BB10DEF05CD5,190,,F18ED2E0-5D76-A71C-7CBF-685830F0EAFB,86,Primary Key,,"Profesiones2",
"Trabajadores PK",332A829E-F51D-8A5F-DE96-D255689BD651,191,,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,Primary Key,,"Profesores",
"Insumos PK",E17BA63C-8CE9-D215-620B-356DDE321DCE,192,,13A884EF-F564-651F-1714-1A3C8E365F00,88,Primary Key,,"Recursos",
"Regiones PK",00262E2F-323D-22A6-114A-00025CFE4989,193,,E8A5305B-1424-5823-CCC5-B327EEA15A93,89,Primary Key,,"Regiones",
"Tipo PK",F9C802FD-40FF-551A-A653-4D049F1C9372,194,,8D508746-65E3-14D4-62AA-254EA7E1A321,90,Primary Key,,"Tipo_1",
"Tipos_Academia PK",4B2F9991-CEE1-390B-530B-167B0CCC6E69,195,,5B629C47-4C1D-EDC1-678A-5A48CB0CCA50,91,Primary Key,,"Tipo_2",
"Tipo PK",F23C5015-21EA-F0D3-CB72-A513714C6588,196,,FB4B01AE-2D9D-7DAB-B92F-D8B72DD261D4,92,Primary Key,,"Tipo_3",
