Logical_Model_ID,Num_Logical_Model_ID,Logical_Model_Name,Logical_Object_ID,Num_Logical_Object_ID,Logical_Object_Name,Relational_Model_ID,Num_Relational_Model_ID,Relational_Model_Name,Relational_Object_ID,Num_Relational_Object_ID,Relational_Object_Name,Entity_Name,Table_Name
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",00262E2F-323D-22A6-114A-00025CFE4989,193,"Regiones PK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",D0126028-CE71-B3E4-F0AE-CEADD3E84DF2,362,"Regiones_PK","Regiones","Regiones",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",0130DB8E-E484-8157-74E9-D6C067B8F2D7,187,"Nacionalidad PK",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",449213E7-6ACB-2F8E-DCD2-C4D79CFA6F3F,372,"Nacionalidad_PK","Nacionalidad","Nacionalidad",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",02BC239E-C978-F6B2-1523-AE2B512318B0,144,"id_recurso",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",F868769C-0B90-B1F4-12B9-0B99A0A21BB5,339,"Recursos_id_recurso","Inversiones","Inversiones",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",033E4972-7183-2454-4B14-9FD4E4A5794C,95,"Tipo_Inversion",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",FE1418AB-70F7-E59F-3BB6-7AF674921BCE,248,"Tipo_Inversion",Tipo_Inversion,"Tipo_Inversion",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",06B6AA87-91D3-CF50-1562-3E87806288F5,156,"n_folio",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",66183AE7-DC28-D103-E66B-29501266AD0D,317,"n_folio","Contratos","Contratos",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",08F4FDFF-C92A-B964-2AA9-02FE9E3C14FD,83,"Profesion_Director",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",5988FE34-3B4B-2775-5A46-E7FFB415E866,236,"Profesion_Director",Profesion_Director,"Profesion_Director",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",0932C399-ADBD-85D8-15A8-23A972DCDA34,99,"cumple_requisito",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",AEF9D322-FD42-25FE-7E6E-E92927B79E9F,265,"cumple_requisito","Recursos","Recursos",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",0AE282EC-3B01-41BB-60ED-EB28F609E104,121,"id_comuna",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",AF77163F-8248-6F3B-8EA6-607AC369BB86,295,"id_comuna","Comunas","Comunas",
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",0BA5ACA1-3858-866E-22A7-43266E4FD4CC,207,"Relation_19",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",D0B61EDB-09C7-1B2B-371C-515DE3CA2705,418,"Directores_Estado_Civil_FK",,,
FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,"Logical",0EBCCCEF-43B8-22DF-684F-7CA559124F7D,127,"id_director",0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,"Relational_1",9C41A39A-B129-AC85-4ABE-AC41CBB91C8F,298,"id_director","Directores","Directores",
