Relation_Name,ModelID,Num_ModelID,ObjectID,NumOID,ImportID,Source_Entity_Name,Target_Entity_Name,Source_Label,Target_Label,SourceTo_Target_Cardinality,TargetTo_Source_Cardinality,Source_Optional,Target_Optional,Dominant_Role,Identifying,Source_ID,Num_Source_ID,Target_ID,Num_Target_ID,Number_Of_Attributes
"Academias Comunas FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,D1965195-B319-8D60-6B60-E53CB01DAE8B,197,,"Comunas","Academias",,,"*","1",Y,N,"Ninguno",N,246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,1,
"Academias Insumos FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,72069B0F-F221-D640-2BB1-8088FCCB2FB7,198,,"Recursos","Academias",,,"*","1",Y,N,"Ninguno",N,13A884EF-F564-651F-1714-1A3C8E365F00,88,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,1,
"Directores Comunas FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,1EE0FDC5-AE7C-4F28-51BD-205BC36709F2,199,,"Comunas","Directores",,,"*","1",Y,N,"Ninguno",N,246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,1,
"Formulario Academias FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,9088DC33-B483-DE69-3E4C-CCE0FA638CD3,200,,"Academias","Formularios",,,"*","1",Y,N,"Ninguno",N,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,AC114B13-23FC-55DD-5B88-57193533EB5C,78,1,
"Formulario Directores FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,ED81F12A-B5D7-9EEC-4D3D-D5C61BD3F561,201,,"Directores","Formularios",,,"*","1",Y,N,"Ninguno",N,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,AC114B13-23FC-55DD-5B88-57193533EB5C,78,1,
"Formulario Inversiones FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,9D64073C-B5AA-8D7A-9A66-B497F74E7EDB,202,,"Inversiones","Formularios",,,"*","1",Y,N,"Ninguno",N,509C0FBC-865B-DFE3-FAFB-1A81DB3CBD3A,79,AC114B13-23FC-55DD-5B88-57193533EB5C,78,1,
"Relation_15",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,692C7CB0-A951-4143-6FA6-0A0DF7468701,203,,"Nacionalidad","Nacionalidad_Directores",,,"*","1",Y,N,"Ninguno",N,452F84BE-CACC-F8E6-3909-C558A0D428DF,80,C4DD189D-10EF-9620-D0EB-84AD67399FD6,81,1,
"Relation_16",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,FBCADCF3-9A9E-41A0-FCEA-20DBBF831C84,204,,"Directores","Nacionalidad_Directores",,,"*","1",Y,N,"Ninguno",N,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,C4DD189D-10EF-9620-D0EB-84AD67399FD6,81,1,
"Relation_17",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,1BEF414D-27C1-1602-9979-AFA3F637D4FB,205,,"Regiones","Ciudades",,,"*","1",Y,N,"Ninguno",N,E8A5305B-1424-5823-CCC5-B327EEA15A93,89,EEFD1DF7-E3F4-7C9F-CE8D-E1FA1D37C35F,73,1,
"Relation_18",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,7066A148-6FDF-D8E7-6035-5A90B9D508B1,206,,"Ciudades","Comunas",,,"*","1",Y,N,"Ninguno",N,EEFD1DF7-E3F4-7C9F-CE8D-E1FA1D37C35F,73,246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,1,
"Relation_19",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,0BA5ACA1-3858-866E-22A7-43266E4FD4CC,207,,"Estado_Civil","Directores",,,"*","1",Y,N,"Ninguno",N,DE5E7A65-C5A0-2E76-D276-A4772A990F15,77,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,0,
"Relation_20",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,8BE52CB5-3394-2777-3B16-849AB8D5E85C,208,,"Tipo_2","Tipo_Academia",,,"*","1",Y,N,"Ninguno",N,5B629C47-4C1D-EDC1-678A-5A48CB0CCA50,91,B16E7C69-34A2-D322-9737-75E898590D37,93,1,
"Relation_21",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,65275555-841F-8D29-EA41-46295C5CB366,209,,"Academias","Tipo_Academia",,,"*","1",Y,N,"Ninguno",N,9C5FEC61-BA26-3CDC-47AC-6E4E6A24C58E,72,B16E7C69-34A2-D322-9737-75E898590D37,93,1,
"Relation_22",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,7A263ECD-4D0F-0798-2711-9B928F4426C4,210,,"Recursos","Inversiones",,,"*","1",Y,N,"Ninguno",N,13A884EF-F564-651F-1714-1A3C8E365F00,88,509C0FBC-865B-DFE3-FAFB-1A81DB3CBD3A,79,1,
"Relation_23",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,8D5A09C0-09AC-7A6E-FBC1-780E878FE070,211,,"Tipo_1","Tipo_Inversion",,,"*","1",Y,N,"Ninguno",N,8D508746-65E3-14D4-62AA-254EA7E1A321,90,033E4972-7183-2454-4B14-9FD4E4A5794C,95,1,
"Relation_24",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,BFACF4B4-5626-47DB-BC09-245110D4C84F,212,,"Inversiones","Tipo_Inversion",,,"*","1",Y,N,"Ninguno",N,509C0FBC-865B-DFE3-FAFB-1A81DB3CBD3A,79,033E4972-7183-2454-4B14-9FD4E4A5794C,95,1,
"Relation_25",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,324160D1-FA00-7726-ADF9-04166BE00EF5,213,,"Tipo_3","Tipo_Contrato",,,"*","1",Y,N,"Ninguno",N,FB4B01AE-2D9D-7DAB-B92F-D8B72DD261D4,92,B7D034E2-AB0C-B9E1-DE7A-FFC5E0EF6CE3,94,1,
"Relation_26",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,F4295B2F-A800-0693-E5C7-CB67EE662C9B,214,,"Contratos","Tipo_Contrato",,,"*","1",Y,N,"Ninguno",N,AB35E3C6-D9E2-46A8-2C3B-63D329EF702E,75,B7D034E2-AB0C-B9E1-DE7A-FFC5E0EF6CE3,94,1,
"Relation_27",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,DB0728E3-9838-E20A-9121-2276C49E6941,215,,"Pagos","Contratos",,,"*","1",Y,N,"Ninguno",N,464A981A-F12C-26BB-CCE7-DC4E01068D08,82,AB35E3C6-D9E2-46A8-2C3B-63D329EF702E,75,1,
"Relation_28",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,57CAD437-3A30-F235-F303-8C24033B7B10,216,,"Profesores","Profesion_Profesor",,,"*","1",Y,N,"Ninguno",N,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,B1B472FD-A925-68BD-760B-9AB238F50423,84,1,
"Relation_29",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,2DC148DD-5C5C-0A03-CFD4-58F5E9689237,217,,"Profesiones","Profesion_Profesor",,,"*","1",Y,N,"Ninguno",N,403B712B-087C-B020-F636-C6D309EDFFBC,85,B1B472FD-A925-68BD-760B-9AB238F50423,84,1,
"Relation_36",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,324410D1-6B03-5012-3A56-12075D4C7C56,218,,"Directores","Profesion_Director",,,"*","1",Y,N,"Ninguno",N,9DF4D5E5-12B8-2887-6EDA-833B8FB12C71,76,08F4FDFF-C92A-B964-2AA9-02FE9E3C14FD,83,1,
"Relation_37",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,13A0598A-B785-397A-3A53-0625703912F2,219,,"Profesiones2","Profesion_Director",,,"*","1",Y,N,"Ninguno",N,F18ED2E0-5D76-A71C-7CBF-685830F0EAFB,86,08F4FDFF-C92A-B964-2AA9-02FE9E3C14FD,83,1,
"Trabajadores Comunas FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,21E18DD8-8160-4904-C098-2BA27A09BBEF,220,,"Comunas","Profesores",,,"*","1",Y,N,"Ninguno",N,246F5EF8-BBA8-87A7-9DE4-B58E405DBBDF,74,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,1,
"Trabajadores Contrato FK",FD7AC5A6-07E2-E694-A247-D234A970EE4C,71,63FDAB92-B5A2-21ED-6DBE-C76D9E0A4EE6,221,,"Contratos","Profesores",,,"*","1",Y,N,"Ninguno",N,AB35E3C6-D9E2-46A8-2C3B-63D329EF702E,75,17DE6C2E-6005-7B13-5800-A620E8618F5E,87,1,
