Table_Name,ObjectID,NumOID,ImportID,ModelID,Num_ModelID,Structured_Type_ID,Num_Structured_Type_ID,Structured_Type_Name,Number_Data_Elements,Classification_Type,Allow_Type_Substitution,Min_Volume,Expected_Volume,Max_Volume,Growth_Rate_Percents,Growth_Rate_Interval,Normal_Form,Temporary_Object_Scope,Adequately_Normalized,Substitution_Parent,Num_Substitution_Parent,Engineer,Spatial_Table,OID_is_PK,OID_is_User_Defined,Include_Scripts_Into_DDL
"Abonos",5A3271AA-007E-367A-307C-EBA2CE4A2A65,223,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Academias",B54DE2D4-E94E-6E5E-AE71-50DD9938D6E2,224,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,12,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Ciudades",0929B5D2-3242-C92E-0867-8D1FDB84A784,225,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,3,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Comunas",ED091BD7-A257-D794-569B-3B041098A764,226,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Contratos",A7307E6C-D9BF-F136-14F8-E77F9272DA20,227,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,7,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Descuentos",73B29AA5-5AE3-9230-9A63-21995D38FC78,228,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Directores",C488DF8B-25BB-7094-FADA-3808B5A37FD4,229,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,13,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Estado_Civil",EC423A0B-89AE-2739-EAA4-5C0E0B760225,230,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,5,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Formularios",CB100AF3-96BD-C64C-80B1-A8C4F92ABEEF,231,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,8,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Inversiones",CC265891-FB3F-2E5D-60DF-333945333639,232,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,6,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Nacionalidad",99D640BE-7A57-308A-C90E-2651C0B79CFB,233,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Nacionalidad_Directores",45655876-0737-E612-D6EE-A80F1D31D4BC,234,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Pagos",CB4C3459-742A-A898-B39D-71C56E155BAF,235,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Profesion_Director",5988FE34-3B4B-2775-5A46-E7FFB415E866,236,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Profesion_Profesor",3112ED84-84D3-6931-331F-673668AAE6F9,237,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Profesiones",C729E649-121A-E211-3FB4-32FEDB0E75A4,238,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Profesiones2",BEDC6C04-4FD9-0FD5-E645-6701A2886729,239,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Profesores",E6B3F8D8-0FE9-506A-E597-E7BE688B6260,240,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,11,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Recursos",F40253BE-0AE2-6D67-4D9C-ADBC5CD1F30F,241,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,4,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Regiones",290A6C96-9AF1-ECFE-FA65-D7EA2A4E1345,242,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_1",CF0CE95D-CB32-3E68-6DC8-CE48A6DD232C,243,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_2",D93D6F78-B518-14CD-6A88-EFF2FF0226A9,244,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_3",96443212-DA2C-43FC-9BEA-1A94C40B5FE1,245,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_Academia",A6A8253F-CCC8-5CCC-3AFC-817ECD3919BA,246,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_Contrato",6E106B89-B40B-C274-6D04-C6EE08EAD280,247,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
"Tipo_Inversion",FE1418AB-70F7-E59F-3BB6-7AF674921BCE,248,,0FA175EC-4E90-EAB6-9D5C-D9F89B5B0CCA,222,,,,2,,Y,0,0,9999999,0,Year,Third,,N,,,Y,N,N,Y,N,
